2026-04-07 00:02:10,548 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,549 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,550 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,570 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,571 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,573 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,574 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,578 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,579 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,580 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,594 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,595 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,596 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,596 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,601 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,602 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,603 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,615 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
